day,n_i,L1,L2,L3,L4
0,1735,-0.114966,-1.27002,0.362319,-0.273113,
1,1867,-0.125148,-1.27894,0.360572,-0.277637,
2,1826,-0.123358,-1.27728,0.353631,-0.280278,
3,1776,-0.123136,-1.28947,0.346318,-0.285455,
4,1782,-0.0746966,-1.20896,0.348038,-0.295076,
5,1856,-0.0769441,-1.21381,0.349454,-0.289719,
6,2009,-0.130073,-1.29368,0.356646,-0.273848,
7,2080,-0.137417,-1.28204,0.368119,-0.25607,
8,2114,-0.13936,-1.28154,0.368575,-0.256559,
9,2097,-0.139656,-1.28167,0.363763,-0.259872,
10,2060,-0.13784,-1.28513,0.357292,-0.265874,
11,1988,-0.0749263,-1.20073,0.342094,-0.305907,
12,1961,-0.0696347,-1.19738,0.338148,-0.307525,
13,2072,-0.110316,-1.24081,0.35561,-0.282408,
14,2231,-0.11747,-1.23693,0.367629,-0.270617,
15,2274,-0.13515,-1.27634,0.360815,-0.263337,
16,2289,-0.139629,-1.28486,0.357666,-0.264898,
17,2255,-0.133794,-1.28269,0.356941,-0.264763,
18,2232,-0.0810766,-1.20436,0.352818,-0.279763,
19,2236,-0.0793358,-1.20428,0.352129,-0.277358,
20,2296,-0.127994,-1.27287,0.358132,-0.264641,
21,2350,-0.142898,-1.29568,0.357583,-0.263608,
22,2356,-0.146487,-1.30384,0.356521,-0.265942,
23,2331,-0.143507,-1.30121,0.355,-0.265866,
24,2276,-0.146866,-1.31581,0.342946,-0.2803,
25,2260,-0.0967405,-1.24952,0.341038,-0.28931,
26,2262,-0.0942991,-1.25428,0.337586,-0.291378,
27,2368,-0.136179,-1.3001,0.348645,-0.275068,
28,2413,-0.130279,-1.26616,0.36754,-0.250984,
29,2438,-0.133884,-1.26766,0.36832,-0.251953,
30,2439,-0.128206,-1.26155,0.368484,-0.252626,
31,2390,-0.119165,-1.24906,0.365379,-0.258171,
32,2385,-0.0732207,-1.20541,0.345524,-0.284786,
33,2380,-0.0682704,-1.20737,0.340179,-0.288669,
34,2482,-0.10477,-1.2456,0.361934,-0.257266,
35,2513,-0.118421,-1.2582,0.364667,-0.249765,
36,2529,-0.12031,-1.26011,0.365423,-0.249937,
37,2531,-0.118774,-1.25846,0.366072,-0.249508,
38,2485,-0.107703,-1.23981,0.360513,-0.263898,
39,2465,-0.0361466,-1.13754,0.358287,-0.285437,
40,2435,-0.030199,-1.13078,0.354901,-0.293069,
41,2456,-0.0759715,-1.17767,0.368912,-0.273056,
42,2529,-0.0912753,-1.19291,0.376366,-0.257574,
43,2559,-0.106218,-1.22962,0.374441,-0.245743,
44,2565,-0.11144,-1.24275,0.368596,-0.253108,
45,2561,-0.111524,-1.24701,0.365831,-0.253358,
46,2575,-0.0649423,-1.19516,0.353204,-0.275174,
47,2586,-0.0640308,-1.19688,0.348988,-0.278194,
48,2625,-0.110905,-1.25185,0.363499,-0.255503,
49,2626,-0.116966,-1.25321,0.367975,-0.250005,
50,2629,-0.118371,-1.25361,0.368698,-0.249303,
51,2619,-0.121138,-1.26166,0.36374,-0.255999,
52,2599,-0.120509,-1.26865,0.355122,-0.266686,
53,2612,-0.0700753,-1.21122,0.346093,-0.285203,
54,2608,-0.0666477,-1.21103,0.345574,-0.284832,
55,2627,-0.107945,-1.24743,0.365834,-0.254102,
56,2660,-0.117954,-1.25538,0.36742,-0.251597,
57,2668,-0.104815,-1.22945,0.363436,-0.265072,
58,2668,-0.106481,-1.23093,0.364463,-0.263408,
59,2663,-0.0962772,-1.21218,0.359438,-0.278209,
60,2681,-0.0356276,-1.13704,0.352387,-0.297481,
61,2682,-0.0336627,-1.13709,0.350163,-0.298646,
62,2713,-0.0846944,-1.20582,0.354788,-0.280421,
63,2695,-0.0887031,-1.20473,0.357345,-0.278058,
64,2691,-0.0869741,-1.20176,0.357872,-0.278721,
65,2689,-0.0854835,-1.20142,0.357383,-0.279398,
66,2687,-0.0809232,-1.19547,0.354514,-0.285894,
67,2689,-0.0293495,-1.13913,0.3452,-0.301897,
68,2673,-0.0265308,-1.13638,0.344043,-0.302334,
69,2700,-0.0737496,-1.18528,0.356555,-0.284234,
70,2702,-0.0809789,-1.1931,0.357479,-0.282866,
71,2706,-0.0842769,-1.19699,0.359203,-0.281376,
72,2721,-0.0822569,-1.19724,0.35677,-0.284875,
73,2725,-0.0653971,-1.16052,0.361805,-0.291992,
74,2738,-0.018997,-1.12075,0.350019,-0.305861,
75,2723,-0.0225088,-1.13391,0.342599,-0.308891,
76,2722,-0.0767776,-1.20094,0.34951,-0.288536,
77,2708,-0.0826724,-1.20319,0.352076,-0.286707,
78,2702,-0.0825162,-1.20254,0.353729,-0.28652,
79,2706,-0.0817694,-1.19921,0.354973,-0.286684,
80,2691,-0.0693102,-1.17069,0.359597,-0.292481,
81,2700,-0.0125228,-1.10327,0.350197,-0.310316,
82,2727,-0.0109354,-1.10768,0.347495,-0.308488,
83,2760,-0.0682031,-1.17542,0.356439,-0.289416,
84,2754,-0.0809401,-1.19714,0.356501,-0.283022,
85,2751,-0.0812396,-1.19509,0.356024,-0.283418,
86,2748,-0.0828719,-1.20069,0.354669,-0.284313,
87,2755,-0.0734323,-1.1806,0.354831,-0.292086,
88,2790,-0.0163983,-1.11779,0.341128,-0.313736,
89,2471,0.0158488,-1.07967,0.345101,-0.315181,
90,2497,-0.0368627,-1.13718,0.35103,-0.303273,
91,2505,-0.0406563,-1.14048,0.354343,-0.298848,
92,2511,-0.0426051,-1.14324,0.353186,-0.300096,
93,2491,-0.0402643,-1.14263,0.351728,-0.299654,
94,2456,-0.0172305,-1.08222,0.370153,-0.294918,
95,2460,0.0341206,-1.03582,0.356533,-0.313002,
96,2461,0.0382809,-1.03229,0.354092,-0.317534,
97,2503,-0.0152544,-1.09222,0.367042,-0.286553,
98,2531,-0.038307,-1.13914,0.354227,-0.293218,
99,2536,-0.0418439,-1.14599,0.353647,-0.293479,
100,2539,-0.041477,-1.14797,0.351793,-0.29438,
101,2535,-0.0301301,-1.12461,0.354263,-0.300547,
102,2547,0.0186923,-1.0818,0.343334,-0.315369,
103,2548,0.0192598,-1.08429,0.340982,-0.317355,
104,2549,-0.0366458,-1.14373,0.348899,-0.301773,
105,2548,-0.0407316,-1.14515,0.353739,-0.295705,
106,2546,-0.0421762,-1.14726,0.354187,-0.295034,
107,2536,-0.0425099,-1.14907,0.353456,-0.29645,
108,2534,-0.046712,-1.16041,0.348986,-0.30166,
109,2537,0.00532593,-1.10531,0.342619,-0.312338,
110,2534,0.00955144,-1.09846,0.34246,-0.314026,
111,2538,-0.0475689,-1.16545,0.348774,-0.294019,
112,2546,-0.0463276,-1.16002,0.351625,-0.289741,
113,2551,-0.0434142,-1.15226,0.353952,-0.289553,
114,2554,-0.0426758,-1.15132,0.354236,-0.289348,
115,2558,-0.0398595,-1.14748,0.351812,-0.297564,
116,2566,0.0164436,-1.0914,0.343701,-0.311451,
117,2559,0.0154903,-1.09028,0.343149,-0.31392,
118,2571,-0.0143413,-1.10321,0.353201,-0.308868,
119,2566,-0.0161273,-1.10289,0.354838,-0.307389,
120,2563,-0.0191843,-1.10564,0.355747,-0.305331,
121,2556,-0.0222982,-1.1162,0.349057,-0.315312,
122,2562,-0.0127406,-1.09939,0.349748,-0.320326,
123,2587,0.0410596,-1.05086,0.33645,-0.33602,
124,2583,0.0415884,-1.0471,0.339886,-0.330354,
125,2587,-0.0193025,-1.11658,0.344504,-0.313569,
126,2585,-0.0169396,-1.10519,0.352833,-0.304973,
127,2585,-0.0183839,-1.10527,0.354424,-0.3032,
128,2584,-0.0213088,-1.11231,0.35402,-0.302928,
129,2577,-0.00647821,-1.07825,0.363221,-0.300454,
130,2569,0.0458989,-1.0329,0.349032,-0.318998,
131,2576,0.0453531,-1.03544,0.347133,-0.320206,
132,2587,-0.0157577,-1.10472,0.351626,-0.302775,
133,2593,-0.0145964,-1.10314,0.351715,-0.303953,
134,2594,-0.0134505,-1.10063,0.352547,-0.305809,
135,2593,-0.0133635,-1.10012,0.351839,-0.306586,
136,2575,-0.0029476,-1.07716,0.358294,-0.308703,
137,2583,0.0499238,-1.03064,0.346414,-0.325075,
138,2584,0.0520733,-1.02562,0.347423,-0.323442,
139,2585,0.0015327,-1.07136,0.357817,-0.311209,
140,2598,0.00735323,-1.05739,0.362768,-0.305686,
141,2595,0.00105063,-1.06905,0.362482,-0.300612,
142,2587,0.00313748,-1.06539,0.363733,-0.299396,
143,2563,0.0152434,-1.03385,0.377452,-0.287871,
144,2569,0.0894086,-0.946368,0.369899,-0.312546,
145,2577,0.0890507,-0.948607,0.368601,-0.313892,
146,2577,0.0399627,-0.998062,0.368108,-0.312828,
147,2583,0.0383412,-0.99875,0.370991,-0.30673,
148,2577,0.0246174,-1.02098,0.371812,-0.298502,
149,2577,0.0420078,-0.993153,0.367735,-0.318565,
150,2568,0.0503232,-0.97531,0.372036,-0.318782,
151,2562,0.0963805,-0.93971,0.362544,-0.328075,
152,2556,0.0942688,-0.942838,0.361993,-0.328942,
153,2564,0.0463184,-0.985858,0.365865,-0.324989,
154,2572,0.0475736,-0.982614,0.367908,-0.321725,
155,2577,0.0468069,-0.985097,0.366555,-0.32448,
156,2569,0.0397304,-0.998607,0.362918,-0.328345,
157,2542,0.0441948,-0.983029,0.370387,-0.323411,
158,2514,0.0840922,-0.954557,0.361786,-0.331354,
159,2514,0.0852745,-0.953352,0.35984,-0.334944,
160,2535,0.039969,-0.995435,0.362902,-0.331915,
161,2555,0.0455722,-0.984151,0.367399,-0.324902,
162,2563,0.0482087,-0.980849,0.366975,-0.326319,
163,2563,0.0480815,-0.983923,0.364256,-0.328773,
164,2565,0.066915,-0.94067,0.382479,-0.310256,
165,2567,0.111593,-0.909585,0.37256,-0.318219,
